"","","","","","","","","","Amphenol ICC","10114826-00008LF","","1","","","1","1","J4","","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector:Conn_01x08_Female","","","Conn_01x08_Female",""
"","","","","","","","","","","","","1","","","4","4","R1, R2, R3, R4","100","","","Resistor","Device:R","","","R",""
"","","","","","","","","","","","","1","","","1","1","TH1","","","","PT100 platinum temperature sensor (RTD)","Sensor_Temperature:PT100","","","PT100",""
""
""
""
""
"Flat BOM / Design Database:"
"Capacitance","Coupling","Dielectric","ESL","ESR","Footprint","Inductance","Impedance","Impedance Frequency","Manufacturer","Manufacturer Part Number","Max Current","Multiplier","Note","Power","Design Quantity","Usage Quantity","Reference Designator","Resistance","Saturation Current","SRF","Symbol Description","Symbol Library Name","Temperature Coefficient","Tolerance","Value","Voltage"
"","","","","","","","","","","","","1","","","0","0","D1","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D2","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D3","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D4","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D5","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D6","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D7","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D8","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D9","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D10","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D11","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","","","","1","","","0","0","D12","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","Tripp Lite","N033-001","","1","","","0","0","FID1","","","","Fiducial Marker","Mechanical:Fiducial","","","Fiducial",""
"","","","","","","","","","TE Connectivity AMP Connectors","5745172-2","","1","","","0","0","FID2","","","","Fiducial Marker","Mechanical:Fiducial","","","Fiducial",""
"","","","","","","","","","TE Connectivity AMP Connectors","66504-4","","13","","","0","0","FID3","","","","Fiducial Marker","Mechanical:Fiducial","","","Fiducial",""
"","","","","","","","","","Ansice","H8M415","","1","","","0","0","FID4","","","","Fiducial Marker","Mechanical:Fiducial","","","Fiducial",""
"","","","","","","","","","Ansice","2.8mm lens","","1","","","0","0","FID5","","","","Fiducial Marker","Mechanical:Fiducial","","","Fiducial",""
"","","","","","","","","","Stewart Connector","SS-37000-002","","1","","","0","0","J1","","","","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61","Connector:8P8C","","","8P8C",""
"","","","","","","","","","TE Connectivity AMP Connectors","205205-2","","1","","","0","0","J2","","","","15-pin female D-SUB connector (low-density/2 columns)","Connector:DB15_Female","","","DB15_Female",""
"","","","","","","","","","TE Connectivity AMP Connectors","5-747909-2","","1","","","0","0","J3","","","","15-pin female D-SUB connector (low-density/2 columns)","Connector:DB15_Female","","","DB15_Female",""
"","","","","","","","","","Amphenol ICC","10114826-00008LF","","1","","","0","0","J4","","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector:Conn_01x08_Female","","","Conn_01x08_Female",""
"","","","","","","","","","","","","1","","","0","0","R1","100","","","Resistor","Device:R","","","R",""
"","","","","","","","","","","","","1","","","0","0","R2","100","","","Resistor","Device:R","","","R",""
"","","","","","","","","","","","","1","","","0","0","R3","100","","","Resistor","Device:R","","","R",""
"","","","","","","","","","","","","1","","","0","0","R4","100","","","Resistor","Device:R","","","R",""
"","","","","","","","","","","","","1","","","0","0","TH1","","","","PT100 platinum temperature sensor (RTD)","Sensor_Temperature:PT100","","","PT100",""
